整理番号,通称道路名,通称道路名／よみがな,起点,終点
79,葛西橋通り,かさいばしどおり,江東区永代二丁目,江戸川区東葛西三丁目
80,湾岸道路,わんがんどうろ,大田区羽田空港三丁目,江戸川区臨海町六丁目
81,六本木通り,ろっぽんぎどおり,千代田区霞ヶ関二丁目,渋谷区渋谷二丁目
82,外苑西通り,がいえんにしどおり,新宿区富久町,港区白金台五丁目
83,方南通り,ほうなんどおり,新宿区西新宿五丁目,杉並区大宮二丁目
84,新目白通り,しんめじろどおり,文京区関口一丁目,新宿区中落合三丁目
85,新青梅街道,しんおうめかいどう,新宿区西落合三丁目,西多摩郡瑞穂町箱根ヶ崎
86,千川通り,せんかわどおり,豊島区南長崎六丁目,練馬区上石神井一丁目
87,環八通り,かんぱちどおり,大田区羽田空港一丁目,北区岩淵町
88,高島通り,たかしまどおり,板橋区坂下二丁目,板橋区三園一丁目
89,新大宮バイパス,しんおおみやばいぱす,練馬区北町三丁目,板橋区新河岸三丁目
90,笹目通り,ささめどおり,練馬区南田中四丁目,板橋区三園二丁目
91,吉祥寺通り,きちじょうじどおり,練馬区関町三丁目,世田谷区給田四丁目
92,三鷹通り,みたかどおり,武蔵野市中町三丁目,調布市国領町一丁目
93,武蔵境通り,むさしさかいどおり,西東京市田無町一丁目,調布市小島町一丁目
94,志木街道,しきかいどう,東村山市秋津町三丁目,清瀬市下清戸五丁目
95,多摩湖自転車歩行者道,たまこじてんしゃほこうしゃどう,西東京市田無町三丁目,東村山市多摩湖町三丁目
96,連雀通り,れんじゃくどおり,三鷹市牟礼六丁目,国分寺市東恋ヶ窪四丁目
97,東八道路,とうはちどうろ,三鷹市牟礼一丁目,国立市谷保
98,人見街道,ひとみかいどう,杉並区浜田山三丁目,府中市若松町四丁目
99,旧甲州街道,きゅうこうしゅうかいどう,調布市国領町二丁目,府中市本宿町二丁目
100,狛江通り,こまえどおり,狛江市東和泉一丁目,調布市国領町一丁目
101,新小金井街道,しんこがねいかいどう,府中市是政三丁目,清瀬市下清戸一丁目
102,立川通り,たちかわどおり,立川市錦町六丁目,小平市小川町一丁目
103,芋窪街道,いもくぼかいどう,立川市栄町三丁目,東大和市蔵敷二丁目
104,新奥多摩街道,しんおくたまかいどう,立川市錦町五丁目／福生市熊川,福生市熊川／青梅市河辺町六丁目
105,北野街道,きたのかいどう,日野市南平四丁目,八王子市館町
106,多摩ニュータウン通り,たまにゅーたうんどおり,多摩市乞田,町田市小山町
107,岩蔵街道,いわくらかいどう,西多摩郡瑞穂町箱根ヶ崎,青梅市富岡三丁目
108,睦橋通り,むつみばしどおり,福生市熊川,あきる野市淵上
109,小曽木街道,おそぎかいどう,青梅市森下町,青梅市富岡
110,成木街道,なりきかいどう,青梅市東青梅二丁目,青梅市成木七丁目
111,高尾街道,たかおかいどう,八王子市高尾町,八王子市戸吹町
112,吉野街道,よしのかいどう,羽村市羽,西多摩郡奥多摩町小舟波
113,檜原街道,ひのはらかいどう,あきる野市五日市,西多摩郡檜原村数馬
114,日原街道,にっぱらかいどう,西多摩郡奥多摩町氷川,西多摩郡奥多摩町日原
115,大島一周道路,おおしまいっしゅうどうろ,大島町元町元町港,大島町元町
116,三原山登山道路,みはらやまとざんどうろ,大島町元町,大島町湯場
117,新島本道,にいじまほんどう,新島本村若郷,新島本村新町
118,式根本道,しきねほんどう,新島本村泊,新島本村式根ヶ沢
119,神津本道,こうづほんどう,神津島村長浜,神津島村多幸
120,三宅一周道路,みやけいっしゅうどうろ,三宅村神着,三宅村神着
121,湾岸通り,わんがんどおり,小笠原村父島西町,小笠原村父島洲崎
122,小港道路,こみなとどうろ,小笠原村父島扇浦,小笠原村父島小港
123,夜明道路,よあけどうろ,小笠原村父島奥村,小笠原村父島小曲
124,旧白山通り,きゅうはくさんどおり,文京区白山二丁目,文京区白山五丁目
125,旧山手通り,きゅうやまてどおり,渋谷区猿楽町,渋谷区神泉町
126,旧海岸通り,きゅうかいがんどおり,港区芝四丁目,品川区東品川一丁目
127,旧早稲田通り,きゅうわせだどおり,杉並区下井草一丁目,練馬区石神井台五丁目
128,富士街道,ふじかいどう,練馬区高野台四丁目,西東京市田無町一丁目
129,旧青梅街道,きゅうおうめかいどう,青梅市東青梅二丁目,青梅市上町
